task,feature_set,model,kind,cv_accuracy_mean,cv_precision_weighted_mean,cv_recall_weighted_mean,cv_f1_weighted_mean,cv_recall_low_mean,cv_recall_moderate_mean,cv_recall_high_mean,cv_recall_severe_mean,cv_accuracy_std,cv_precision_weighted_std,cv_recall_weighted_std,cv_f1_weighted_std,cv_recall_low_std,cv_recall_moderate_std,cv_recall_high_std,cv_recall_severe_std,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_recall_low,test_recall_moderate,test_recall_high,test_recall_severe,runtime_s,cv_mse_mean,cv_rmse_mean,cv_mae_mean,cv_r2_mean,cv_level_accuracy_from_score_mean,cv_mse_std,cv_rmse_std,cv_mae_std,cv_r2_std,cv_level_accuracy_from_score_std,test_mse,test_rmse,test_mae,test_r2,test_level_accuracy_from_score,selected
regression,aqi_only,Random Forest,model,,,,,,,,,,,,,,,,,,,,,,,,,22.2,0.19673109771024666,0.443126226450116,0.26487312824814657,0.9225663905877101,0.8113333333333334,0.019113907458875246,0.021512936292123207,0.003752922963517261,0.005817204205700168,0.012782909597496846,0.22858684092649784,0.4781075620888022,0.26745933993508797,0.9158014072127031,0.8353333333333334,False
regression,aqi_only,XGBoost,model,,,,,,,,,,,,,,,,,,,,,,,,,20.2,0.16497196243248607,0.40589850048035975,0.24480381037836274,0.9348077542198666,0.8305,0.01353297806379864,0.016521566976284967,0.005911958304970451,0.0072509725335210586,0.01566356352246264,0.18195728024510244,0.42656450889062775,0.24172563473415376,0.932977126408743,0.84,False
regression,aqi_only,MLP,model,,,,,,,,,,,,,,,,,,,,,,,,,47.6,0.14305723615686083,0.3780884790131297,0.24696085964609726,0.943306286821658,0.8154999999999999,0.008666472962887974,0.011529212592315987,0.007093613490901914,0.007673548477428995,0.01748610559526873,0.14175790249952516,0.3765075065646436,0.24170100529320068,0.9477843262605968,0.8393333333333334,True
regression,aqi_pm25_no2,Baseline,baseline,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.54788637657974,1.594515127166388,1.0669094680555555,-0.0001320086862398373,0.30083333333333334,0.26105204091848605,0.08221835118525117,0.020159652233557254,0.00014272666124243697,0.0,2.7151859140973333,1.6477821197286167,1.0719618773333335,-0.0001224576019978052,0.30133333333333334,False
regression,aqi_pm25_no2,Random Forest,model,,,,,,,,,,,,,,,,,,,,,,,,,28.6,0.1408788461745964,0.3747037348599968,0.22450230615010805,0.944765952253557,0.8396666666666667,0.018034781691619817,0.024391526616983378,0.006542486464316861,0.0032729253669719458,0.014161763857498668,0.16245720878250627,0.40305980794728996,0.22522741796804113,0.9401598608555184,0.858,False
regression,aqi_pm25_no2,XGBoost,model,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.07471860405698082,0.2725174666775464,0.16490131830925744,0.970812907642198,0.8786666666666667,0.012640171649598722,0.0237916585338539,0.004462214098020855,0.0026003987671278997,0.00887020606049014,0.08741811409128661,0.29566554430857617,0.16234284040494756,0.9678000616274649,0.8873333333333333,False
regression,aqi_pm25_no2,MLP,model,,,,,,,,,,,,,,,,,,,,,,,,,66.8,0.03957166144219606,0.19887109033644007,0.15121483203812086,0.9843843486606498,0.873,0.0020910399381434417,0.005238185586577092,0.0017229818091884959,0.0011594263555240198,0.008469717298181285,0.03907609417831207,0.19767674162205343,0.14727393024666757,0.9856065549175873,0.87,True
regression,full,Baseline,baseline,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2.54788637657974,1.594515127166388,1.0669094680555555,-0.0001320086862398373,0.30083333333333334,0.26105204091848605,0.08221835118525117,0.020159652233557254,0.00014272666124243697,0.0,2.7151859140973333,1.6477821197286167,1.0719618773333335,-0.0001224576019978052,0.30133333333333334,False
regression,full,Random Forest,model,,,,,,,,,,,,,,,,,,,,,,,,,25.1,0.14829325249409656,0.3842144645222756,0.22931042703770538,0.9418740752649439,0.8371666666666666,0.022160323960946197,0.028993485172483253,0.007709400896724375,0.005411827618198158,0.012591332998005692,0.17062226555084928,0.41306448110537086,0.23023586123735057,0.9371523111333366,0.8626666666666667,False
regression,full,XGBoost,model,,,,,,,,,,,,,,,,,,,,,,,,,17.6,0.07574607624977248,0.27449410875429675,0.16827319840185342,0.9703760000687792,0.8758333333333332,0.012120442310129955,0.02233440476475693,0.005042261037841222,0.002479964028745332,0.008994597143717845,0.08663775891240522,0.2943429274034034,0.16465484607132275,0.9680875007804354,0.886,False
regression,full,MLP,model,,,,,,,,,,,,,,,,,,,,,,,,,36.8,0.04606768747550515,0.2145415983970282,0.16074646479831267,0.9818553549375768,0.8674999999999999,0.003011854045319044,0.007034738157300168,0.0019019473773697155,0.0008417683132586096,0.0069721668877839585,0.05399109836867834,0.23235984672201507,0.1628915111567325,0.9801127025192802,0.8626666666666667,False
