city,window,test_start,test_end,n_train,model,kind,rmse,mse,mae,mape,n_scored,config,runtime_s,error,rmse_seed_std,n_runs,best_baseline_rmse,beats_baseline,rmse_vs_baseline_pct,rank,window_winner
Ahmedabad,3,2019-06-08,2019-07-07,606,Prophet,model,14.299289364529432,204.46967633054453,12.116504564879886,29.6460608529132,30,"Prophet (yearly + weekly, additive)",1.37,,,,13.56751377371698,False,5.4,5.0,False
Ahmedabad,3,2019-06-08,2019-07-07,606,SARIMA,model,15.306723437905015,234.29578240451073,12.259487690443278,25.373183199709988,30,"SARIMA(1, 0, 2)x(0, 0, 1, 7) + 3 annual Fourier pairs",18.35,,,,13.56751377371698,False,12.8,6.0,False
Ahmedabad,3,2019-06-08,2019-07-07,606,Holt-Winters,model,15.832520135796774,250.6686938504103,12.490490821931369,25.449187980745503,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.46,,,,13.56751377371698,False,16.7,7.0,False
Ahmedabad,3,2019-06-08,2019-07-07,606,Naive (last value),baseline,18.802819203513074,353.5460100000001,15.191666666666666,30.096694272071762,30,Naive (last value),0.0,,,,13.56751377371698,,38.6,8.0,False
Ahmedabad,3,2019-06-08,2019-07-07,606,Seasonal naive (annual),baseline,53.699759248374036,2883.664143333333,29.490999999999996,73.66019145236173,30,Seasonal naive (annual),0.0,,,,13.56751377371698,,295.8,9.0,False
Ahmedabad,4,2019-02-08,2019-03-09,486,Prophet,model,22.26908904532627,495.9123269086706,18.340046213703385,39.94040824830433,30,"Prophet (yearly + weekly, additive)",0.55,,,,37.3316689063499,True,-40.3,1.0,True
Ahmedabad,4,2019-02-08,2019-03-09,486,ARIMA,model,25.435573558466338,646.968402248152,23.045346717366176,50.485326201653194,30,"ARIMA(2, 0, 2)",10.93,,,,37.3316689063499,True,-31.9,2.0,False
Ahmedabad,4,2019-02-08,2019-03-09,486,Holt-Winters,model,26.785675384278385,717.4724057919369,24.093543147947482,51.755419692433065,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.36,,,,37.3316689063499,True,-28.2,3.0,False
Ahmedabad,4,2019-02-08,2019-03-09,486,SARIMA,model,31.622029884806288,999.952774035582,29.00312038131428,63.1601290691124,30,"SARIMA(2, 0, 2)x(0, 0, 1, 7) + 3 annual Fourier pairs",19.08,,,,37.3316689063499,True,-15.3,4.0,False
Ahmedabad,4,2019-02-08,2019-03-09,486,LSTM,model,34.04543448035138,1159.3343661764181,31.607634718280607,68.31203142488567,30,"LSTM(1x64) lookback=60, direct 30-step, 26 epochs (early stop), mean of seeds [42, 43, 44]",27.41,,0.49270398873921917,3.0,37.3316689063499,True,-8.8,5.0,False
Ahmedabad,4,2019-02-08,2019-03-09,486,Seasonal naive (weekly),baseline,37.3316689063499,1393.6535033333319,28.78233333333332,59.68981058425946,30,Seasonal naive (weekly),0.01,,,,37.3316689063499,,0.0,6.0,False
Ahmedabad,4,2019-02-08,2019-03-09,486,Naive (last value),baseline,42.796050401877025,1831.5019299999985,40.58099999999999,86.69635924151449,30,Naive (last value),0.0,,,,37.3316689063499,,14.6,7.0,False
Ahmedabad,4,2019-02-08,2019-03-09,486,XGBoost,model,51.2381245408125,2625.345406459812,48.446584231342484,102.08239731776483,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",2.39,,,,37.3316689063499,False,37.3,8.0,False
Ahmedabad,4,2019-02-08,2019-03-09,486,Seasonal naive (annual),baseline,61.8610195518955,3826.785739999998,41.984666666666655,86.39904452624003,30,Seasonal naive (annual),0.0,,,,37.3316689063499,,65.7,9.0,False
Ahmedabad,5,2018-10-11,2018-11-09,366,Naive (last value),baseline,29.91093166943038,894.6638333333332,22.856666666666662,22.29716719891496,30,Naive (last value),0.0,,,,29.91093166943038,,0.0,1.0,True
Ahmedabad,5,2018-10-11,2018-11-09,366,Holt-Winters,model,30.313194816466734,918.8897799810657,22.877857214528113,22.187406710148455,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",0.34,,,,29.91093166943038,False,1.3,2.0,False
Ahmedabad,5,2018-10-11,2018-11-09,366,SARIMA,model,36.32156288622208,1319.2559304977854,27.78964705469982,22.98567955498206,30,"SARIMA(2, 0, 2)x(0, 0, 1, 7) + 3 annual Fourier pairs",14.98,,,,29.91093166943038,False,21.4,3.0,False
Ahmedabad,5,2018-10-11,2018-11-09,366,XGBoost,model,38.19089124986645,1458.5441744591258,26.93603242654395,23.435763113801382,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",2.19,,,,29.91093166943038,False,27.7,4.0,False
Ahmedabad,5,2018-10-11,2018-11-09,366,ARIMA,model,39.158184176726444,1533.363388018429,25.139112010391383,19.200453181133756,30,"ARIMA(2, 0, 2)",9.68,,,,29.91093166943038,False,30.9,5.0,False
Ahmedabad,5,2018-10-11,2018-11-09,366,Seasonal naive (weekly),baseline,44.06622164424811,1941.8318900000004,33.19033333333333,28.391650398980268,30,Seasonal naive (weekly),0.0,,,,29.91093166943038,,47.3,6.0,False
Ahmedabad,5,2018-10-11,2018-11-09,366,Seasonal naive (annual),baseline,45.78935885427655,2096.6653842857145,36.564333333333344,31.70415966807828,30,Seasonal naive (annual),0.0,,,,29.91093166943038,,53.1,7.0,False
Ahmedabad,5,2018-10-11,2018-11-09,366,LSTM,model,75.70986332953619,5733.671138873427,69.13254622244109,61.32211530258568,30,"LSTM(1x64) lookback=60, direct 30-step, 54 epochs (early stop), mean of seeds [42, 43, 44]",35.59,,1.29912797536583,3.0,29.91093166943038,False,153.1,8.0,False
Ahmedabad,5,2018-10-11,2018-11-09,366,Prophet,model,92.1561548952671,8492.756885080462,84.06111810998763,89.5578310687507,30,"Prophet (yearly + weekly, additive)",0.63,,,,29.91093166943038,False,208.1,9.0,False
Bengaluru,0,2020-06-02,2020-07-01,1901,XGBoost,model,4.241609770244423,17.991253443032953,3.48698853581356,20.949761299704086,30,"XGBoost recursive (21 features: lags 1-28, rolling [7, 14, 30], calendar)",4.32,,,,7.901390173043391,True,-46.3,1.0,True
Bengaluru,0,2020-06-02,2020-07-01,1901,ARIMA,model,4.877805320815119,23.792984747772284,4.3895336503386675,26.733742014653778,30,"ARIMA(2, 0, 3)",27.43,,,,7.901390173043391,True,-38.3,2.0,False
Bengaluru,0,2020-06-02,2020-07-01,1901,SARIMA,model,5.193324458434738,26.970618930576464,4.760561657994071,29.324726655259365,30,"SARIMA(2, 0, 1)x(0, 0, 1, 7) + 3 annual Fourier pairs",36.29,,,,7.901390173043391,True,-34.3,3.0,False
Bengaluru,0,2020-06-02,2020-07-01,1901,Prophet,model,5.610371198883678,31.47626498926348,4.463422262255245,25.193935703263175,30,"Prophet (yearly + weekly, additive)",1.66,,,,7.901390173043391,True,-29.0,4.0,False
Bengaluru,0,2020-06-02,2020-07-01,1901,Holt-Winters,model,6.67628532207344,44.57278570173325,5.720668417424938,29.91661724557383,30,"Holt-Winters (add. damped trend, add. seasonal m=7)",1.14,,,,7.901390173043391,True,-15.5,5.0,False
Bengaluru,0,2020-06-02,2020-07-01,1901,Seasonal naive (weekly),baseline,7.901390173043391,62.431966666666675,5.99,38.64300352259089,30,Seasonal naive (weekly),0.0,,,,7.901390173043391,,0.0,6.0,False
Bengaluru,0,2020-06-02,2020-07-01,1901,LSTM,model,8.582473678184167,79.61205182962743,7.608247151090048,50.02438703792702,30,"LSTM(1x64) lookback=60, direct 30-step, 20 epochs (early stop), mean of seeds [42, 43, 44]",77.2,,2.439917497150951,3.0,7.901390173043391,False,8.6,7.0,False
Bengaluru,0,2020-06-02,2020-07-01,1901,Seasonal naive (annual),baseline,9.163404934848183,83.96799000000001,7.604333333333333,48.26349513597471,30,Seasonal naive (annual),0.0,,,,7.901390173043391,,16.0,8.0,False
Bengaluru,0,2020-06-02,2020-07-01,1901,Naive (last value),baseline,10.158181595804109,103.18865333333332,9.16733333333333,46.7170600355932,30,Naive (last value),0.0,,,,7.901390173043391,,28.6,9.0,False
