city,model,kind,n_windows,mean_rmse,std_rmse,mean_mae,mean_mape,mean_rank,wins,beat_baseline_windows,windows_total,win_rate,beat_baseline_rate,best_baseline_mean_rmse
Chennai,Prophet,model,6,25.710080640054354,13.796231718517046,17.14539665872768,38.28045870192182,3.5,2,4,6,0.3333333333333333,0.6666666666666666,26.906187717678332
Chennai,ARIMA,model,6,26.08937362385308,14.055841546328582,16.65285809426872,35.5211537144999,4.166666666666667,0,3,6,0.0,0.5,26.906187717678332
Chennai,Naive (last value),baseline,6,26.906187717678332,13.356472950144196,19.50477777777778,49.431997580062955,5.166666666666667,0,0,6,0.0,,26.906187717678332
Chennai,LSTM,model,6,26.989392508768773,12.942096092629619,19.231895795251916,46.994867544382856,4.833333333333333,1,3,6,0.16666666666666666,0.5,26.906187717678332
Chennai,SARIMA,model,6,27.758511481190613,11.115994794283164,21.043642893880744,55.09797193860526,4.0,1,4,6,0.16666666666666666,0.6666666666666666,26.906187717678332
Chennai,XGBoost,model,6,28.647302897194294,10.750380257009178,22.398834493678162,59.093039481186906,5.833333333333333,0,2,6,0.0,0.3333333333333333,26.906187717678332
Chennai,Seasonal naive (weekly),baseline,6,28.847476746705507,14.594364063498695,19.56722222222222,41.199286039697675,5.666666666666667,1,0,6,0.16666666666666666,,26.906187717678332
Chennai,Seasonal naive (annual),baseline,6,42.34441237091352,12.554584441062346,29.210444444444445,77.7190732104391,8.833333333333334,0,0,6,0.0,,26.906187717678332
Delhi,Prophet,model,6,44.038564596854805,32.06171526668093,31.404446665111266,27.853223402061946,2.0,2,5,6,0.3333333333333333,0.8333333333333334,67.5274402571916
Delhi,LSTM,model,6,48.29612610506152,38.39958148813906,34.821539431305425,31.13371526279893,3.1666666666666665,0,4,6,0.0,0.6666666666666666,67.5274402571916
Delhi,SARIMA,model,6,53.17734990988394,42.21039883736233,37.859660324341114,33.62671584074156,3.1666666666666665,2,4,6,0.3333333333333333,0.6666666666666666,67.5274402571916
Delhi,XGBoost,model,6,60.07498269244443,56.60744776354665,46.29337032236841,40.13485835192608,4.666666666666667,1,3,6,0.16666666666666666,0.5,67.5274402571916
Delhi,Seasonal naive (annual),baseline,6,67.5274402571916,30.555420655595096,46.56527777777777,47.88801340146812,6.666666666666667,1,0,6,0.16666666666666666,,67.5274402571916
Delhi,Holt-Winters,model,6,68.65112604415113,63.90725683673262,52.21829799806687,37.844208834374044,5.333333333333333,0,3,6,0.0,0.5,67.5274402571916
Delhi,Naive (last value),baseline,6,70.3711728557381,64.52643940088484,53.84494444444446,38.18083927614839,6.166666666666667,0,0,6,0.0,,67.5274402571916
Delhi,ARIMA,model,6,71.09823685595455,67.2699783014851,56.50990788335284,44.52626255238323,5.666666666666667,0,3,6,0.0,0.5,67.5274402571916
Delhi,Seasonal naive (weekly),baseline,6,80.94380257931373,60.37936216513031,63.78255555555555,55.514047817022806,8.166666666666666,0,0,6,0.0,,67.5274402571916
Hyderabad,Naive (last value),baseline,6,12.14977020036421,0.8942215762010605,9.772055555555555,39.87650946323081,4.0,0,0,6,0.0,,12.14977020036421
Hyderabad,Holt-Winters,model,6,12.51595285771234,1.5731588508431529,9.998381566453723,39.8078178574662,3.8333333333333335,1,3,6,0.16666666666666666,0.5,12.14977020036421
Hyderabad,SARIMA,model,6,12.957890265912297,3.725279125671654,10.41007096734098,38.64553730556006,5.0,0,2,6,0.0,0.3333333333333333,12.14977020036421
Hyderabad,ARIMA,model,6,13.182011792070321,2.524794137432589,11.444729901433485,47.19027190227964,4.0,2,3,6,0.3333333333333333,0.5,12.14977020036421
Hyderabad,Prophet,model,6,13.457247864036963,6.382770719341182,11.124273694727217,37.51940478930583,4.666666666666667,1,2,6,0.16666666666666666,0.3333333333333333,12.14977020036421
Hyderabad,XGBoost,model,6,13.890555518987718,3.9773099244771175,11.670904882821619,48.05064103017108,4.666666666666667,1,2,6,0.16666666666666666,0.3333333333333333,12.14977020036421
Hyderabad,Seasonal naive (weekly),baseline,6,14.624970160360538,2.479927291328663,11.957277777777776,46.30488309513384,6.333333333333333,0,0,6,0.0,,12.14977020036421
Hyderabad,Seasonal naive (annual),baseline,6,15.5253484484018,6.1439247499880825,13.3335,44.655369113072226,6.333333333333333,0,0,6,0.0,,12.14977020036421
Hyderabad,LSTM,model,6,16.12709383348782,6.574770650158946,13.643623788821573,54.52974966047626,6.166666666666667,1,1,6,0.16666666666666666,0.16666666666666666,12.14977020036421
Lucknow,Prophet,model,6,36.04232026763941,19.14617496730948,26.76884608909151,27.27826890677608,2.3333333333333335,2,5,6,0.3333333333333333,0.8333333333333334,50.24870261364597
Lucknow,SARIMA,model,6,37.699232968222496,14.577599922819415,27.14195533557721,33.21294063982014,3.0,2,4,6,0.3333333333333333,0.6666666666666666,50.24870261364597
Lucknow,LSTM,model,6,40.50829108463752,15.194769087474752,32.504032629205405,40.503974298570455,4.333333333333333,1,3,6,0.16666666666666666,0.5,50.24870261364597
Lucknow,XGBoost,model,6,44.947293604116254,21.21117319747862,33.45798996945777,39.09326088144051,5.333333333333333,0,3,6,0.0,0.5,50.24870261364597
Lucknow,Holt-Winters,model,6,48.53967398152474,36.79611318458679,35.797926120469306,34.236229198406974,4.333333333333333,0,3,6,0.0,0.5,50.24870261364597
Lucknow,Naive (last value),baseline,6,50.24870261364597,32.39612884447425,36.54355555555556,33.891584274154674,5.333333333333333,0,0,6,0.0,,50.24870261364597
Lucknow,ARIMA,model,6,51.83445037910541,39.4814768376796,40.07409602230033,41.50795404120248,5.0,1,3,6,0.16666666666666666,0.5,50.24870261364597
Lucknow,Seasonal naive (annual),baseline,6,54.69516476583115,15.5614001561438,43.58755555555556,55.94845287188977,7.166666666666667,0,0,6,0.0,,50.24870261364597
Lucknow,Seasonal naive (weekly),baseline,6,65.50562305103334,37.68753815832384,51.646833333333326,55.40528793035523,8.166666666666666,0,0,6,0.0,,50.24870261364597
