date,city,window,actual,observed,Naive (last value),Seasonal naive (weekly),Seasonal naive (annual),ARIMA,SARIMA,Holt-Winters,LSTM,XGBoost,Prophet
2019-03-07,Bengaluru,4,65.98,True,51.879999999999995,51.879999999999995,33.88000000000001,39.557593643784394,40.715258785337205,50.91469355574872,51.1115747468455,47.52503448436887,44.9323099185898
2019-03-08,Bengaluru,4,69.62,True,51.879999999999995,49.669999999999995,41.37,39.420044437337594,40.59430050128518,48.731858892054326,50.34917406108078,46.96498373123669,44.21270542141255
2019-03-09,Bengaluru,4,51.08,True,51.879999999999995,45.32000000000001,59.48000000000001,39.28543787428245,40.47321772324686,49.300293520264084,49.50589119284508,47.7792269241534,44.69305432559789
2018-10-11,Bengaluru,5,55.08,True,40.93,21.470000000000002,22.500000000000004,33.81541927113314,35.19296931460302,35.79550030243815,29.934042648079878,34.43698950901529,28.8230702259333
2018-10-12,Bengaluru,5,56.31,True,40.93,13.99,27.29,30.38206920653953,31.34760227770841,34.357277030276094,30.72710498115998,30.521234216002522,29.06109340080711
2018-10-13,Bengaluru,5,72.74,True,40.93,14.0,24.830000000000002,28.631431474255745,29.93655077017218,34.38081256008311,31.289492582656877,26.44750879889413,29.259205419945236
2018-10-14,Bengaluru,5,48.48,True,40.93,20.86,32.61000000000001,27.722106966030648,29.897668472536104,30.37345834752927,31.686073831884908,25.570437430145734,27.308017741986976
2018-10-15,Bengaluru,5,41.44,True,40.93,32.94,40.34,27.25614387873805,30.43907229164876,33.37430050681226,32.52757849655502,27.346225046082516,29.695089115138224
2018-10-16,Bengaluru,5,35.37,True,40.93,31.819999999999993,21.629999999999995,27.030911244462125,30.37615879201547,35.88841570399372,33.511986236148786,27.57258661465315,32.26636263426161
2018-10-17,Bengaluru,5,19.99,True,40.93,40.93,27.859999999999996,26.93847643643485,30.911853811327724,36.54624110684944,33.65538821410788,28.658055988379015,34.02363311200637
2018-10-18,Bengaluru,5,62.95,True,40.93,21.470000000000002,39.39,26.91979273653673,30.762629773799645,35.79550030243815,34.180210559766245,30.34511972205884,33.918340788457876
