city,model,kind,n_windows,mean_rmse,std_rmse,mean_mae,mean_mape,mean_rank,wins,beat_baseline_windows,windows_total,win_rate,beat_baseline_rate,best_baseline_mean_rmse
Hyderabad,Holt-Winters,model,6,25.8360849328639,8.880252509672875,21.160866708555496,33.813792202108395,4.5,1,2,6,0.16666666666666666,0.3333333333333333,25.88360265240735
Hyderabad,Naive (last value),baseline,6,25.88360265240735,9.1236105688528,20.883333333333333,32.17769485238354,4.5,1,0,6,0.16666666666666666,,25.88360265240735
Hyderabad,SARIMA,model,6,27.692774353446737,4.572288650638235,23.60484604289903,40.13135056321176,5.166666666666667,0,2,6,0.0,0.3333333333333333,25.88360265240735
Hyderabad,ARIMA,model,6,28.216908322636996,11.674599551138927,24.764478739367714,43.49258954228787,4.5,0,3,6,0.0,0.5,25.88360265240735
Hyderabad,Seasonal naive (weekly),baseline,6,30.887291382841024,9.525944077680844,26.04444444444444,43.72118716297829,6.0,0,0,6,0.0,,25.88360265240735
Hyderabad,Seasonal naive (annual),baseline,6,31.43091234424021,11.118526538339498,25.44388888888889,37.50185444143273,6.666666666666667,1,0,6,0.16666666666666666,,25.88360265240735
Hyderabad,LSTM,model,6,33.986178951729215,10.2387336207188,29.811151177236823,49.81333810422112,7.0,0,1,6,0.0,0.16666666666666666,25.88360265240735
Lucknow,Prophet,model,6,55.89717813181048,17.70547473902335,43.81896635242767,23.628475411156206,3.3333333333333335,2,4,6,0.3333333333333333,0.6666666666666666,83.16352656559519
Lucknow,LSTM,model,6,57.9784674511688,13.756804987428724,46.557206700568635,29.83586205544799,4.0,1,2,6,0.16666666666666666,0.3333333333333333,83.16352656559519
Lucknow,SARIMA,model,6,60.00721941301945,14.978940079558152,48.54691450722686,31.078313669940286,3.0,2,4,6,0.3333333333333333,0.6666666666666666,83.16352656559519
Lucknow,XGBoost,model,6,69.76086315858784,22.238879631650075,56.30047357795079,35.74668589334222,5.5,0,1,6,0.0,0.16666666666666666,83.16352656559519
Lucknow,Naive (last value),baseline,6,83.16352656559519,51.67178552177439,69.65000000000002,33.233254621657984,4.333333333333333,0,0,6,0.0,,83.16352656559519
Lucknow,Holt-Winters,model,6,85.57298853759373,53.078257509223015,71.3565706482615,35.267397550390456,4.5,0,2,6,0.0,0.3333333333333333,83.16352656559519
Lucknow,Seasonal naive (annual),baseline,6,87.06769543483783,19.190093642282797,71.0111111111111,47.08286163115262,7.333333333333333,0,0,6,0.0,,83.16352656559519
Lucknow,ARIMA,model,6,88.26875629137821,52.99770879240319,76.62221924164413,40.38141029785992,4.833333333333333,1,2,6,0.16666666666666666,0.3333333333333333,83.16352656559519
Lucknow,Seasonal naive (weekly),baseline,6,104.06231340505379,56.31200506593627,87.81111111111112,46.90782224537944,8.166666666666666,0,0,6,0.0,,83.16352656559519
