date,city,actual,observed,Naive (last value),Seasonal naive (weekly),Seasonal naive (annual),ARIMA,SARIMA,Holt-Winters,LSTM,XGBoost,Prophet
2020-06-19,Delhi,132.0,True,100.00000000000003,128.99999999999997,174.99999999999991,142.3739413085369,151.6438639673052,99.00648345468342,123.865776659427,140.17258090320098,107.33878510496153
2020-06-20,Delhi,158.0,True,100.00000000000003,84.00000000000001,178.0,143.09468812697236,151.22114626516364,97.01387880225975,129.8662153825774,137.6693977381123,102.90840992692704
2020-06-21,Delhi,105.0,True,100.00000000000003,80.00000000000003,185.00000000000009,143.81125452109328,150.66320386832635,98.6053692225243,133.9060698382915,133.84991333673995,99.09456826451
2020-06-22,Delhi,104.0,True,100.00000000000003,100.00000000000003,153.00000000000006,144.52363658254578,149.98015186591803,98.59748977157602,120.46177129509219,136.37936430331297,96.4146977765142
2020-06-23,Delhi,85.0,True,100.00000000000003,153.00000000000006,118.00000000000003,145.23182612911955,149.18202179990027,100.65516829976038,118.98175414556484,136.96394961862367,96.65050877531462
2020-06-24,Delhi,71.0,True,100.00000000000003,155.99999999999994,130.99999999999997,145.9358133589272,148.27870920815016,101.12706133040228,131.73083679500795,137.86572269810185,96.27817792091298
2020-06-25,Delhi,86.0,True,100.00000000000003,174.00000000000006,160.99999999999994,146.63558813643473,147.2799278507167,101.42854572142171,129.18573046943405,134.77826353156144,95.99747816307266
2020-06-26,Delhi,104.0,True,100.00000000000003,128.99999999999997,169.00000000000006,147.33114061162289,146.19517003353388,99.00648345468342,131.22357741866142,131.5569655469227,93.83532966755955
2020-06-27,Delhi,112.0,True,100.00000000000003,84.00000000000001,206.99999999999997,148.02246151413038,145.0336726158348,97.01387880225975,126.19265072736395,125.02504001981207,89.84233340741379
2020-06-28,Delhi,196.0,True,100.00000000000003,80.00000000000003,222.99999999999994,148.70954228900771,143.8043883391366,98.6053692225243,128.91407096093928,117.86511793339119,86.43219638779833
2020-06-29,Delhi,233.0,True,100.00000000000003,100.00000000000003,234.0,149.39237515529774,142.51596212868188,98.59748977157602,132.24865016335005,111.44187574329409,84.05499107088342
2020-06-30,Delhi,114.0,True,100.00000000000003,153.00000000000006,194.99999999999991,150.07095312703407,141.17671202079046,100.65516829976038,136.68129944252328,109.97747146259302,84.26523765620797
2020-07-01,Delhi,101.0,True,100.00000000000003,155.99999999999994,201.99999999999997,150.74527001594828,139.7946143709401,101.12706133040228,131.58847941817186,111.19962979838472,83.98773390709741
2020-06-02,Bengaluru,40.0,True,48.99999999999999,65.99999999999997,97.99999999999999,58.48910027290569,57.33435404905326,59.998384293572684,71.8086790352513,53.397352167108316,45.0372461694967
2020-06-03,Bengaluru,42.0,True,48.99999999999999,75.0,69.00000000000003,63.73982718875746,61.30822195767052,58.83398456815142,79.605838640484,55.49240783816849,44.03621256230988
2020-06-04,Bengaluru,43.0,True,48.99999999999999,73.99999999999997,78.0,66.5686909903882,63.25922611565207,58.46109000427279,78.57919589947285,59.37441566516892,43.11854614521269
2020-06-05,Bengaluru,55.0,True,48.99999999999999,65.99999999999997,78.0,68.14920345981885,64.33984742298088,60.70264442252788,73.20923882274892,59.20870505613859,43.423455608063335
2020-06-06,Bengaluru,55.0,True,48.99999999999999,71.99999999999999,102.00000000000001,69.11366938088136,65.04773482115351,60.32479969659713,78.04441425821041,57.75149350698736,43.98515071977033
2020-06-07,Bengaluru,55.0,True,48.99999999999999,61.00000000000001,76.00000000000001,69.77852158409034,65.5868766048521,56.56311518833904,75.21676322584672,57.46671415241322,42.60193543699468
2020-06-08,Bengaluru,55.0,True,48.99999999999999,48.99999999999999,65.99999999999997,70.29703324240026,66.04169831817738,56.4271119711751,73.68979161141978,56.76693259510016,41.68266201809478
2020-06-09,Bengaluru,58.0,True,48.99999999999999,65.99999999999997,54.000000000000014,70.74236450282345,66.44827896545756,59.998384293572684,79.6196871119325,58.058608283366965,43.01780421761783
2020-06-10,Bengaluru,70.0,True,48.99999999999999,75.0,50.0,71.14921893266664,66.82105969785948,58.83398456815142,77.65455429205736,58.932063807686035,43.06937826323881
2020-06-11,Bengaluru,59.0,True,48.99999999999999,73.99999999999997,51.00000000000001,71.53403148327989,67.16775446390778,58.46109000427279,74.45483138155247,59.48298923999195,43.20669230794094
2020-06-12,Bengaluru,49.0,True,48.99999999999999,65.99999999999997,50.0,71.90460139674971,67.49275290931686,60.70264442252788,80.0240868405835,60.48964753138008,44.58668878196602
2020-06-13,Bengaluru,50.0,True,48.99999999999999,71.99999999999999,58.999999999999986,72.2646555902592,67.79901236488756,60.32479969659713,72.28749441522434,62.20438924240333,46.26603743439308
2020-06-14,Bengaluru,49.0,True,48.99999999999999,61.00000000000001,69.00000000000003,72.61600303387544,68.08881192765062,56.56311518833904,75.40561193982063,63.90632149470356,45.87748808457463
2020-06-15,Bengaluru,47.0,True,48.99999999999999,48.99999999999999,62.99999999999998,72.9595500958731,68.36405656622888,56.4271119711751,76.0649056342181,62.402707711132734,45.9078771300265
2020-06-16,Bengaluru,55.0,True,48.99999999999999,65.99999999999997,61.00000000000001,73.29577862270527,68.62640345836414,59.998384293572684,78.75225751945331,65.28758523670953,48.38056621108255
2020-06-17,Bengaluru,57.0,True,48.99999999999999,75.0,70.0,73.62497090403325,68.87731808622524,58.83398456815142,79.48647590162534,65.22443018195776,49.378726516956576
2020-06-18,Bengaluru,65.0,True,48.99999999999999,73.99999999999997,73.99999999999997,73.94731546858645,69.11810249558444,58.46109000427279,82.86268316495284,64.80921991015474,50.392000131724444
2020-06-19,Bengaluru,65.0,True,48.99999999999999,65.99999999999997,67.00000000000001,74.26295679653681,69.34991240933316,60.70264442252788,73.91281442305653,64.99402634842829,52.769967867128265
2020-06-20,Bengaluru,56.0,True,48.99999999999999,71.99999999999999,63.999999999999986,74.57201864603576,69.57376974504935,60.32479969659713,81.31455271859949,65.55642087298763,55.4213777191161
2020-06-21,Bengaluru,52.0,True,48.99999999999999,61.00000000000001,67.00000000000001,74.87461496986566,69.79057309543032,56.56311518833904,84.2522921090096,64.76746600698579,55.477159978375404
2020-06-22,Bengaluru,49.0,True,48.99999999999999,48.99999999999999,65.99999999999997,75.17085499794796,70.00110716515009,56.4271119711751,76.47875108743999,62.068882665225054,55.876777876902274
2020-06-23,Bengaluru,56.0,True,48.99999999999999,65.99999999999997,64.99999999999997,75.46084557903971,70.20605154770462,59.998384293572684,73.02469305271721,63.72369685146286,59.084392768223395
2020-06-24,Bengaluru,63.0,True,48.99999999999999,75.0,64.99999999999997,75.74469223649652,70.40598899100436,58.83398456815142,81.62689061485217,65.78589013672035,60.33354500053303
2020-06-25,Bengaluru,63.0,True,48.99999999999999,73.99999999999997,73.99999999999997,76.02249962222179,70.60141321229766,58.46109000427279,79.7864274229556,66.2046026746372,61.4220026281024
2020-06-26,Bengaluru,58.0,True,48.99999999999999,65.99999999999997,71.99999999999999,76.29437169039512,70.79273629153478,60.70264442252788,74.89672560265127,65.07022384150353,63.977024380816005
2020-06-27,Bengaluru,51.0,True,48.99999999999999,71.99999999999999,71.99999999999999,76.56041174207904,70.98029566225887,60.32479969659713,76.62447422302907,65.88446246854576,66.65360794215034
